$ /Users/insideden/.hermes/hermes-agent/venv/bin/hermes skills list
exit_code=0

                                Installed Skills                                
┏━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━┳━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━┓
┃ Name             ┃ Category         ┃ Source   ┃ Trust    ┃ Status           ┃
│ ulw-maestro      │ ultrawork        │ local    │ local    │ enabled          │
│ ulw-perf         │ ultrawork        │ local    │ local    │ enabled          │
│ ulw-plan         │ ultrawork        │ local    │ local    │ enabled          │
│ ulw-qa           │ ultrawork        │ local    │ local    │ enabled          │
│ ulw-research     │ ultrawork        │ local    │ local    │ enabled          │
│ ulw-work         │ ultrawork        │ local    │ local    │ enabled          │
│ blocked-page-re… │ web              │ builtin  │ builtin  │ enabled          │
└──────────────────┴──────────────────┴──────────┴──────────┴──────────────────┘
14 hub-installed, 58 builtin, 168 local — 197 enabled, 43 disabled

⚠ A previous `hermes update` pulled new code but did not restart running gateways.
  Gateways may still be serving pre-update modules (mixed sys.modules).
  Run `hermes update` or `hermes gateway restart`.
